@relation UserTransaction
@attribute userId numeric
@attribute userCity {Pune,Mumbai,Chennai,Kolkatta,Delhi}
@attribute transactionType {HDFC,ICICI,SBI,HSBC,BARCLAYS}
@attribute userAge {LessTwenty,Twenties,Thirties,Forties,FortyPlus}
@data
471,Chennai,HDFC,LessTwenty
66,Mumbai,ICICI,Twenties
188,Mumbai,HDFC,Thirties
586,Chennai,SBI,Forties
510,Chennai,HDFC,Thirties
361,Kolkatta,SBI,Thirties
166,Chennai,ICICI,Twenties
166,Kolkatta,ICICI,Twenties
166,Pune,ICICI,Twenties
166,Chennai,SBI,Twenties
166,Mumbai,HDFC,Twenties
166,Chennai,ICICI,Twenties
641,Kolkatta,ICICI,Thirties
511,Mumbai,ICICI,Twenties
334,Mumbai,ICICI,Forties
258,Pune,ICICI,Twenties
156,Chennai,HSBC,Thirties
180,Chennai,SBI,Twenties
122,Pune,HSBC,LessTwenty
520,Chennai,ICICI,Twenties
516,Delhi,HSBC,FortyPlus
29,Kolkatta,SBI,LessTwenty
75,Mumbai,HSBC,Twenties
671,Kolkatta,HSBC,Twenties
340,Mumbai,ICICI,Twenties
108,Kolkatta,HDFC,FortyPlus
308,Delhi,SBI,FortyPlus
699,Delhi,HSBC,FortyPlus
218,Kolkatta,HSBC,Twenties
89,Pune,HSBC,Forties
581,Delhi,HDFC,Forties
269,Kolkatta,SBI,LessTwenty
719,Pune,HDFC,Thirties
653,Chennai,SBI,Thirties
229,Kolkatta,ICICI,Thirties
565,Chennai,ICICI,Thirties
555,Kolkatta,ICICI,FortyPlus
257,Chennai,SBI,FortyPlus
616,Mumbai,HDFC,Thirties
512,Pune,HSBC,Twenties
198,Mumbai,BARCLAYS,LessTwenty
349,Chennai,ICICI,Thirties
285,Mumbai,BARCLAYS,Forties
392,Mumbai,HSBC,LessTwenty
434,Kolkatta,HSBC,Twenties
224,Pune,ICICI,LessTwenty
257,Pune,SBI,FortyPlus
291,Kolkatta,HSBC,LessTwenty
695,Pune,BARCLAYS,Forties
665,Kolkatta,SBI,Twenties
114,Delhi,SBI,Twenties
665,Delhi,ICICI,Twenties
347,Pune,HSBC,Forties
73,Mumbai,HDFC,LessTwenty
320,Pune,BARCLAYS,Forties
648,Chennai,ICICI,Forties
458,Kolkatta,ICICI,Forties
582,Delhi,SBI,Twenties
212,Chennai,SBI,Thirties
570,Mumbai,HDFC,LessTwenty
419,Chennai,BARCLAYS,FortyPlus
50,Mumbai,SBI,Forties
117,Delhi,HSBC,FortyPlus
320,Kolkatta,HSBC,Forties
321,Chennai,SBI,LessTwenty
107,Pune,SBI,FortyPlus
531,Kolkatta,HDFC,Forties
727,Delhi,ICICI,Forties
220,Pune,SBI,Forties
510,Pune,ICICI,Thirties
258,Chennai,HSBC,Twenties
407,Delhi,HSBC,Forties
561,Mumbai,SBI,Forties
448,Chennai,HDFC,Twenties
141,Mumbai,HDFC,Thirties
325,Kolkatta,ICICI,Thirties
165,Mumbai,ICICI,Thirties
210,Pune,SBI,Forties
54,Delhi,HSBC,Thirties
731,Pune,ICICI,LessTwenty
554,Chennai,SBI,LessTwenty
38,Kolkatta,SBI,Twenties
595,Chennai,HSBC,LessTwenty
719,Pune,HDFC,Thirties
79,Kolkatta,SBI,Thirties
155,Mumbai,SBI,Twenties
124,Mumbai,HSBC,FortyPlus
197,Pune,HDFC,Forties
481,Pune,HSBC,FortyPlus
471,Chennai,HSBC,LessTwenty
697,Chennai,HSBC,Thirties
90,Mumbai,SBI,FortyPlus
497,Mumbai,HDFC,LessTwenty
427,Mumbai,BARCLAYS,LessTwenty
162,Kolkatta,BARCLAYS,Twenties
365,Kolkatta,BARCLAYS,Forties
450,Delhi,BARCLAYS,Forties
21,Delhi,BARCLAYS,Forties
652,Kolkatta,BARCLAYS,LessTwenty
104,Mumbai,BARCLAYS,Forties
514,Mumbai,BARCLAYS,Thirties
109,Chennai,BARCLAYS,Thirties
679,Chennai,BARCLAYS,Thirties
634,Mumbai,BARCLAYS,Twenties
222,Delhi,BARCLAYS,Forties
593,Delhi,SBI,Forties
439,Pune,HSBC,Forties
411,Chennai,HDFC,LessTwenty
558,Pune,BARCLAYS,Twenties
490,Mumbai,BARCLAYS,Forties
560,Kolkatta,SBI,Forties
577,Chennai,ICICI,Forties
590,Kolkatta,HDFC,FortyPlus
689,Kolkatta,HDFC,LessTwenty
520,Chennai,BARCLAYS,Twenties
707,Kolkatta,BARCLAYS,Thirties
14,Pune,SBI,Forties
136,Mumbai,BARCLAYS,Twenties
267,Mumbai,BARCLAYS,Thirties
7,Delhi,BARCLAYS,Twenties
256,Chennai,HSBC,Forties
362,Delhi,BARCLAYS,FortyPlus
167,Mumbai,BARCLAYS,LessTwenty
490,Pune,BARCLAYS,Forties
9,Pune,SBI,FortyPlus
549,Kolkatta,ICICI,Twenties
668,Delhi,HSBC,FortyPlus
630,Mumbai,ICICI,Thirties
680,Mumbai,SBI,Twenties
703,Pune,BARCLAYS,LessTwenty
356,Delhi,BARCLAYS,Forties
699,Mumbai,BARCLAYS,FortyPlus
224,Mumbai,BARCLAYS,LessTwenty
45,Chennai,BARCLAYS,Thirties
16,Kolkatta,SBI,FortyPlus
735,Chennai,BARCLAYS,Thirties
154,Kolkatta,BARCLAYS,Twenties
129,Mumbai,BARCLAYS,FortyPlus
70,Delhi,ICICI,FortyPlus
587,Delhi,HDFC,Thirties
160,Mumbai,BARCLAYS,FortyPlus
113,Kolkatta,BARCLAYS,Forties
110,Chennai,BARCLAYS,FortyPlus
156,Chennai,BARCLAYS,Thirties
325,Mumbai,ICICI,Thirties
35,Chennai,HDFC,FortyPlus
284,Chennai,BARCLAYS,Forties
91,Pune,BARCLAYS,Thirties
709,Mumbai,HSBC,LessTwenty
280,Delhi,SBI,Thirties
584,Chennai,SBI,FortyPlus
39,Kolkatta,HSBC,LessTwenty
443,Pune,HDFC,FortyPlus
307,Pune,HSBC,Forties
443,Chennai,HSBC,FortyPlus
376,Chennai,HSBC,LessTwenty
134,Kolkatta,ICICI,Thirties
714,Delhi,SBI,LessTwenty
434,Kolkatta,HSBC,Twenties
612,Delhi,SBI,FortyPlus
639,Pune,SBI,LessTwenty
437,Pune,ICICI,Thirties
608,Mumbai,SBI,Thirties
34,Mumbai,SBI,LessTwenty
167,Delhi,BARCLAYS,LessTwenty
611,Mumbai,HSBC,Thirties
6,Delhi,HSBC,Forties
678,Kolkatta,SBI,LessTwenty
122,Pune,BARCLAYS,LessTwenty
444,Delhi,ICICI,FortyPlus
669,Kolkatta,HSBC,LessTwenty
503,Pune,ICICI,Thirties
438,Delhi,SBI,LessTwenty
6,Pune,HDFC,Forties
530,Chennai,BARCLAYS,Thirties
23,Kolkatta,SBI,Thirties
490,Chennai,SBI,Forties
248,Pune,ICICI,Forties
669,Delhi,SBI,LessTwenty
698,Delhi,ICICI,FortyPlus
178,Kolkatta,BARCLAYS,Forties
278,Delhi,BARCLAYS,Twenties
252,Pune,BARCLAYS,FortyPlus
337,Chennai,HDFC,Thirties
455,Mumbai,HDFC,FortyPlus
702,Delhi,BARCLAYS,Twenties
438,Delhi,BARCLAYS,LessTwenty
732,Chennai,BARCLAYS,FortyPlus
71,Kolkatta,BARCLAYS,Thirties
402,Pune,HDFC,Twenties
119,Chennai,SBI,Thirties
227,Mumbai,ICICI,FortyPlus
18,Kolkatta,BARCLAYS,FortyPlus
97,Kolkatta,BARCLAYS,LessTwenty
193,Mumbai,BARCLAYS,FortyPlus
143,Kolkatta,ICICI,LessTwenty
420,Pune,HSBC,LessTwenty
206,Pune,ICICI,FortyPlus
30,Delhi,HSBC,Forties
481,Pune,BARCLAYS,FortyPlus
313,Delhi,BARCLAYS,LessTwenty
498,Chennai,ICICI,Thirties
8,Chennai,HSBC,Thirties
91,Delhi,BARCLAYS,Thirties
321,Mumbai,BARCLAYS,LessTwenty
638,Kolkatta,BARCLAYS,Twenties
469,Pune,BARCLAYS,LessTwenty
218,Pune,HSBC,Twenties
686,Delhi,SBI,LessTwenty
363,Mumbai,HDFC,LessTwenty
536,Pune,BARCLAYS,Twenties
605,Mumbai,BARCLAYS,FortyPlus
64,Delhi,BARCLAYS,LessTwenty
726,Chennai,BARCLAYS,Thirties
168,Chennai,SBI,Forties
594,Pune,HDFC,Twenties
346,Pune,ICICI,LessTwenty
150,Chennai,SBI,FortyPlus
246,Pune,SBI,Thirties
142,Mumbai,SBI,Forties
565,Delhi,ICICI,Thirties
299,Chennai,BARCLAYS,Twenties
98,Mumbai,HDFC,LessTwenty
618,Chennai,ICICI,FortyPlus
686,Delhi,HDFC,LessTwenty
295,Pune,SBI,Thirties
10,Kolkatta,SBI,FortyPlus
368,Delhi,ICICI,Thirties
563,Chennai,SBI,FortyPlus
566,Kolkatta,HDFC,Forties
521,Delhi,HSBC,Forties
433,Mumbai,HSBC,Forties
300,Mumbai,SBI,FortyPlus
137,Chennai,HSBC,Thirties
579,Pune,ICICI,Twenties
259,Kolkatta,HDFC,FortyPlus
138,Mumbai,HDFC,Twenties
181,Mumbai,SBI,Thirties
506,Pune,SBI,Forties
339,Chennai,HDFC,Forties
464,Chennai,SBI,Forties
264,Kolkatta,SBI,Thirties
647,Mumbai,ICICI,LessTwenty
595,Mumbai,SBI,LessTwenty
419,Pune,SBI,FortyPlus
66,Pune,HDFC,Twenties
256,Pune,HDFC,Forties
258,Mumbai,HDFC,Twenties
8,Delhi,SBI,Thirties
727,Pune,ICICI,Forties
401,Chennai,HDFC,Twenties
729,Delhi,HDFC,Thirties
300,Mumbai,HDFC,FortyPlus
42,Pune,SBI,Forties
481,Delhi,SBI,FortyPlus
204,Chennai,HSBC,FortyPlus
490,Kolkatta,HDFC,Forties
440,Chennai,HSBC,Forties
106,Delhi,HSBC,FortyPlus
608,Kolkatta,HSBC,Thirties
735,Kolkatta,ICICI,Thirties
593,Chennai,HDFC,Forties
118,Kolkatta,ICICI,Twenties
733,Delhi,HDFC,Forties
150,Delhi,HDFC,FortyPlus
276,Chennai,HSBC,LessTwenty
581,Mumbai,SBI,Forties
183,Pune,HDFC,LessTwenty
561,Kolkatta,HSBC,Forties
701,Delhi,SBI,LessTwenty
428,Kolkatta,SBI,LessTwenty
238,Chennai,HSBC,FortyPlus
31,Pune,ICICI,Forties
97,Pune,ICICI,LessTwenty
51,Kolkatta,BARCLAYS,Thirties
438,Pune,ICICI,LessTwenty
146,Pune,SBI,Forties
329,Mumbai,BARCLAYS,FortyPlus
596,Mumbai,BARCLAYS,Twenties
645,Mumbai,BARCLAYS,FortyPlus
227,Chennai,BARCLAYS,FortyPlus
37,Kolkatta,BARCLAYS,Twenties
76,Chennai,HSBC,LessTwenty
113,Chennai,SBI,Forties
478,Pune,SBI,Thirties
559,Mumbai,HDFC,FortyPlus
303,Pune,ICICI,Twenties
386,Pune,ICICI,FortyPlus
264,Chennai,BARCLAYS,Thirties
524,Kolkatta,BARCLAYS,Thirties
